Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,HhTypeControl
crossriver,7001,2017,.5862740278244019,1563285.625,aboobisu,6.148529,9.045812,6.1479654,9.046431500000001,2017,agriculture,teacher,,,man,40,boki,0,7,1,0
crossriver,7002,2017,.5500133037567139,2308357,aboobisu,6.148865,9.045624,6.1479654,9.046431500000001,2017,agriculture,,,,man,59,boki,0,10,1,0
crossriver,7003,2017,.4292031526565552,571642.8125,aboobisu,6.148865,9.045624,6.1479654,9.046431500000001,2017,agriculture,,,,man,24,boki,0,4,0,0
crossriver,7004,2017,.6493322849273682,1147285.625,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,teacher,,,man,35,boki,0,8,1,0
crossriver,7005,2017,.6806403398513794,1199214.25,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,,,,man,33,boki,0,4,0,0
crossriver,7006,2017,.5862740278244019,1476642.875,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,,,,man,61,boki,0,4,0,0
crossriver,7007,2017,.7469709515571594,1896071.375,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,business,,,woman,29,boki,0,6,0,0
crossriver,7008,2017,.6476519107818604,15571.4287109375,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,,,,man,54,boki,0,10,0,0
crossriver,7009,2017,.6470327973365784,1284999.875,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,,,,man,49,boki,0,5,0,0
crossriver,7010,2017,.6789599657058716,3295785.5,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,business,,,man,63,boki,0,13,0,0
crossriver,7011,2017,.7530733346939087,2353000,wula1,6.38708,9.102181,6.389924,9.1079588,2017,agriculture,,,,man,47,boki,0,9,0,0
